frame,wound_area,normalized_area
0,975027,1.0
1,980189,1.0052942123654012
2,969042,0.9938617084449969
3,964896,0.9896095185056414
4,960950,0.985562451091098
5,950336,0.9746765986993181
6,960091,0.9846814498470299
7,952600,0.9769985856801914
8,958453,0.9830014963688185
9,949604,0.9739258502585056
10,960720,0.985326560187564
11,958413,0.982960471863856
12,937211,0.9612154330085219
13,953496,0.9779175345913498
14,945687,0.96990852561006
15,950430,0.9747730062859797
16,957488,0.9820117801866
17,946400,0.9706397874110153
18,958549,0.9830999551807283
19,946898,0.9711505424977975
20,933138,0.9570381127907227
21,940959,0.9650594291235012
22,935044,0.9589929304521824
23,926707,0.9504423980053885
24,927305,0.9510557143545768
25,928908,0.9526997713909461
26,937166,0.961169280440439
27,939529,0.9635928030710944
28,919342,0.9428887610291817
29,923686,0.9473440222681013
30,925915,0.9496301128071325
31,913489,0.9368858503405547
32,914785,0.9382150443013373
33,900103,0.9231569997548786
34,889542,0.9123255048321739
35,880324,0.9028714076635826
36,888418,0.9111727162427297
37,866405,0.8885959055492823
38,859282,0.8812904668280981
39,875664,0.8980920528354599
40,834552,0.8559270666350778
41,845345,0.8669965036865646
42,841350,0.8628991812534422
43,834296,0.8556645098033183
44,841688,0.8632458383203747
45,829953,0.8512102741770228
46,765043,0.7846377587492449
47,814194,0.8350476448344507
48,826490,0.8476585776599007
49,776732,0.7966261447118901
50,814886,0.8357573687703007
51,800986,0.8215013532958575
52,754757,0.7740883072981569
53,753266,0.7725591188756824
54,781673,0.8016936966873738
55,780075,0.8000547677141249
56,793228,0.8135446505583948
57,772880,0.7926754848840083
58,770596,0.7903329856506538
59,762532,0.7820624454502285
60,762080,0.7815988685441532
61,772039,0.7918129446671733
62,767768,0.7874325531498102
63,760817,0.7803035197999645
