track_id,n_frames,path_length,displacement,mean_speed,persistence
10,36,175.7709885050834,97.25006027221222,5.022028243002383,0.5532770857085991
11,12,70.33523520765223,52.55332399641818,6.394112291604748,0.747183454228366
13,13,110.10213482355582,61.140328868002875,9.175177901962984,0.5553055711951754
15,25,155.92012627468762,116.12516750196386,6.496671928111984,0.744773431605512
16,37,206.55609957092082,120.21965029482044,5.737669432525578,0.5820193668671747
21,33,219.77354178099608,101.2823702441978,6.867923180656128,0.46084878745379415
23,13,96.03398479208084,87.98266355091883,8.002832066006738,0.9161617498368563
24,64,336.0382755980173,217.55286463900183,5.3339408825082115,0.6474050143598744
25,10,71.34817379823275,68.33871739283742,7.927574866470305,0.9578201340666989
26,18,250.34461818076727,128.27485412681446,14.726154010633369,0.5123930966001057
27,42,216.8463424940991,107.09036517074018,5.288935182782905,0.49385368431406385
28,64,297.46028679843175,192.0930153902625,4.7215918539433614,0.6457770126485175
29,48,406.0572929267767,174.50783994968046,8.639516870782483,0.4297616198242966
30,64,413.8913921196961,176.08272211903412,6.569704636820573,0.42543219180579517
31,64,273.27032303615437,183.44837480593947,4.337624175177053,0.6713073441994972
32,15,112.05941768172286,102.29673558783574,8.004244120123062,0.9128794143691197
33,36,196.50265156566286,185.02994421588056,5.614361473304653,0.9416155087049876
34,64,259.62699629795765,189.54897689507885,4.121063433300915,0.7300819236746295
36,22,150.10594794157598,137.05793637550207,7.147902282932189,0.9130746533031959
38,64,330.89849811203965,221.65275041663992,5.252357112889518,0.669851183010175
39,64,276.74044465051475,187.34097451259936,4.392705470643091,0.6769555304761663
40,64,246.1678988203504,185.40454821975365,3.907426965402387,0.7531629798532712
41,22,119.43814261606441,101.29330820188831,5.687530600764972,0.8480817432626784
42,38,206.2279121948797,166.4503496405548,5.57372735661837,0.8071184344981576
43,64,55.30938843742562,26.56559836298224,0.8779268005940575,0.4803090237209417
44,28,129.63013893047244,82.99225063182624,4.801116256684164,0.6402234180767129
45,30,215.32786076863036,145.69104120122682,7.1775953589543455,0.6766009780674492
46,64,508.91221950811274,177.61186422740508,8.077971738224011,0.34900294671461257
47,17,133.62541235380732,65.34859984048225,8.351588272112958,0.4890432043528905
48,43,258.58686134457224,193.3844562697311,6.156830032013625,0.7478510519219396
50,20,27.20054892269422,18.29731899679026,1.360027446134711,0.6726819759701345
51,44,253.16788574001467,162.1204670908499,5.887625249767783,0.6403674250269484
