track_id,frame,x,y,z
0,0,505.4678800856531,9.013918629550322,0.0
0,1,505.7591760299626,6.483520599250936,0.0
0,2,505.89833333333337,5.975833333333334,0.0
0,3,506.51457725947523,4.907191448007775,0.0
0,4,506.69,4.332222222222223,0.0
0,5,506.78076463560336,4.023297491039426,0.0
0,7,506.9387755102041,4.264172335600907,0.0
0,8,506.7560975609756,4.369918699186992,0.0
0,9,507.05555555555554,3.136488340192044,0.0
1,1,836.8461538461538,15.896449704142011,0.0
1,2,841.9572271386431,3.9469026548672566,0.0
1,3,840.5277777777778,8.1506734006734,0.0
1,4,830.2853333333334,3.1986666666666665,0.0
1,5,819.5718954248365,1.2222222222222223,0.0
1,6,826.3129770992366,4.972010178117048,0.0
2,1,916.5710784313726,8.474264705882353,0.0
2,2,909.9222222222223,0.7311111111111112,0.0
2,3,909.1364209199749,13.339319470699433,0.0
2,4,914.0729646697389,4.208141321044547,0.0
3,0,952.159393939394,17.56787878787879,0.0
3,1,947.3466666666666,7.488,0.0
3,2,946.0933333333334,2.6444444444444444,0.0
3,3,947.48495645289,15.057403008709423,0.0
3,4,950.3029595015577,6.15809968847352,0.0
3,5,948.4182004089979,1.7862985685071575,0.0
4,0,857.856884057971,13.619565217391305,0.0
4,1,854.0649717514125,6.822033898305085,0.0
4,2,849.0228966986156,14.748136315228969,0.0
4,3,856.7040579710144,18.302318840579712,0.0
4,4,863.2140381282495,31.64442518775274,0.0
4,5,861.1095238095238,21.496825396825397,0.0
4,6,857.2674050632911,13.979957805907175,0.0
4,7,850.9294750158127,5.796647691334599,0.0
4,8,839.0718799368088,4.081358609794629,0.0
5,2,810.1316758747698,16.586556169429098,0.0
5,3,809.6032179720704,16.75136612021858,0.0
5,4,802.27063642092,11.794265910523,0.0
5,5,814.2494824016562,14.184265010351966,0.0
5,6,803.1573643410853,10.157364341085271,0.0
5,7,794.4588477366254,4.372427983539095,0.0
5,8,782.9744816586922,8.034290271132377,0.0
5,9,781.8086419753087,1.4176954732510287,0.0
6,0,994.4738562091503,32.35185185185185,0.0
6,1,991.1036036036036,25.32882882882883,0.0
6,2,996.1138328530259,18.957252641690683,0.0
6,3,998.8807692307693,12.292307692307693,0.0
6,4,998.3271092669434,7.5428769017980635,0.0
6,5,996.7356020942408,3.089877835951134,0.0
6,6,997.460113960114,1.331908831908832,0.0
7,1,828.9276315789474,24.43640350877193,0.0
7,2,819.8498759305211,21.60587262200165,0.0
7,3,822.6923076923077,27.634615384615383,0.0
7,4,827.2453987730062,17.245398773006134,0.0
7,5,826.2006802721089,23.615646258503403,0.0
7,6,817.6331757289204,21.146178092986606,0.0
7,7,811.5704500978474,15.180365296803654,0.0
8,1,1006.84375,25.202083333333334,0.0
8,2,1016.9515723270441,22.520125786163522,0.0
8,3,1018.4727463312369,15.18763102725367,0.0
8,4,1016.4567567567567,6.294594594594595,0.0
8,5,1014.8534136546184,2.6646586345381524,0.0
8,6,1015.7970588235294,6.223529411764706,0.0
8,7,1014.7384105960265,4.945916114790287,0.0
9,0,939.9732510288065,24.24897119341564,0.0
9,1,939.0019334880124,31.609822119102862,0.0
9,2,941.1206618240516,22.93099273607748,0.0
9,3,937.8692810457517,32.0359477124183,0.0
10,0,854.0928411633109,31.14951528709918,0.0
10,1,843.4036850921274,32.164991624790616,0.0
10,2,847.6206804891015,33.24800637958533,0.0
10,3,845.8798742138364,32.82327044025157,0.0
10,4,835.6338951310862,27.684456928838948,0.0
10,5,839.9766813942072,32.11119293078056,0.0
10,6,832.7477917247791,28.139237563923754,0.0
10,7,831.0275453277545,23.076011157601116,0.0
10,8,825.3392914653784,23.28937198067633,0.0
10,9,813.4372114496769,18.92536164973838,0.0
10,10,809.1876390212901,22.031935176358438,0.0
10,11,802.9254342838414,20.532120616191413,0.0
10,12,801.8141512848354,18.979551212450236,0.0
10,13,793.316069057105,15.96812749003984,0.0
10,14,789.5082754054949,13.62214498510427,0.0
10,15,779.7036262203626,8.635983263598327,0.0
10,16,771.6171359054571,8.549009384775808,0.0
10,17,764.3868376068376,8.38034188034188,0.0
10,18,762.4559819413092,8.538374717832957,0.0
10,19,760.0271317829457,8.561240310077519,0.0
10,20,756.5577519379844,8.925968992248063,0.0
10,21,757.9926423544466,10.590531030070379,0.0
10,22,755.1406576980569,13.375037369207773,0.0
10,23,750.3462496109555,11.598350451291628,0.0
10,24,746.6374745417515,11.016632722335371,0.0
